id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
1668,لقاط سلك عادي,3,9.5,20,,28.5,60
1669,لقاط سلك BELLOTA,6,19,60,,114,360
1670,لقاط سلك XCORT,14,28,35,,392,490
1671,كريفي 8/10 orange,54,15,40,,810,2160
1672,كريفي 12/10 orange,9,18,45,,162,405
1673,كريفي  8/6 orange,64,14,17.5,,896,1120
1674,كريفي 12/14 orange,2,60,75,,120,150
1675,كريفي 16/14 orange,0,60,80,,0,0
1676,سيبور غبرة لامون كبيرة DOTCHTEK,2,240,300,,480,600
1677,سيبور غبرة لامون صغير DOTCHTEK,0,180,280,,0,0
1678,متر TOTAL 50m*12.5mm,0,110,137.5,,0,0
1679,متر TOTAL 100m*12.5mm,5,200,250,,1000,1250
1680,بروس INGCO 100mm شينيور orange,22,29.25,45,,643.5,990
1681,بروس INGCO 100mm شينيور اسود,20,29.25,45,,585,900
1682,منشار ساموراي ABC Pruning saw 14,7,23,45,,161,315
1683,منشار INGCO 300mm HHF3068,1,26.78,45.9,,26.78,45.9
1684,منشار جبص DANI,20,19.38,30.6,,387.59999999999997,612
1685,بكية بروشة عادية,0,45,56.25,,0,0
1686,بروشة AKRO 33,38,13.68,17.1,,519.84,649.8000000000001
1687,هيدورة ديسكو INGCO,68,36.75,50,,2499,3400
1688,كورديكس ممتاز ZHEKANG,4,18.87,23.59,,75.48,94.36
1689,شكوتش اسود Selsil,11,35,50,,385,550
1690,مقص INGCO 215mm,16,15,20,,240,320
1691,سيبور صباغة 2m BM,0,75,93.75,,0,0
1692,رولو Securite احمر ابيض,0,29,35,,0,0
1693,طيفلون كبير,23,9,13,,207,299
1694,طيفلون صغير,73,3,7,,219,511
1695,VALUE TAPE شكوتش بالوان ضوء صغير,644,2,3.75,,1288,2415
1696,شكوتش كاروسري HP1171,89,65,90,,5785,8010
1697,كراطة جاج,1,6,10,,6,10
1698,راس بوطا إيطالي,0,30,37.5,,0,0
1699,يد مكينة زليج RUBI 2eme ازرق,0,140,175,,0,0
1700,كومة مستيك اسود,15,22,30,,330,450
1701,تيب لاريزين,10,12,20,,120,200
1702,شكوتش ابيض غليض MIA,0,15,21.43,,0,0
1703,شكوتش ابيض AKRO 24mm,0,5,9.35,,0,0
1704,شكوتش ابيض AKRO 18mm,0,4.79,5.99,,0,0
1705,شكوتش ابيض MIARCO 48mm,0,15,18.75,,0,0
1706,لقاط زليج اصفر احمر,73,14,81.6,,1022,5956.799999999999
1707,تيو الماء 1 مكينة منشار,14,90,120,,1260,1680
1708,تيو الماء 2 مكينة منشار كبير,7,90,112.5,,630,787.5
1709,راس لقاط حديد 36,14,50,80,,700,1120
1710,بكية زائد RUBI 2mm (1000),114,75,93.75,,8550,10687.5
1711,بكية زائد RUBI 3mm (1000),63,115,143.75,,7245,9056.25
1712,بكية زائد RUBI 4mm (1000),33,160,202.4,,5280,6679.2
1713,بكية زائد DAKOTA 2mm (200),8,22.44,45,,179.52,360
1714,بكية زائد DAKOTA 3mm (200),0,24.48,45,,0,0
1715,بكية زائد DAKOTA 4mm (200),0,24,45,,0,0
1716,بكية زائد DAKOTA 1mm (200),0,22.44,45.9,,0,0
1717,بكية زائد DAKOTA 5mm (200),47,24,45,,1128,2115
1718,بكية زائد RUBI 5mm (1000),28,192,244.8,,5376,6854.400000000001
1719,سيبور تقطاع غبرة DOTCHTEK كبيرة,6,210,320,,1260,1920
1720,سيبور تقطاع غبرة DOTCHTEK صغيرة,4,180,250,,720,1000
1721,فشفاشة H2O صغيرة,0,6.5,8.13,,0,0
1722,سرجوان DINGQI 24x 600mm,7,65,81.25,,455,568.75
1723,ليخة الماء 220,842,2.2,3.37,,1852.4,2837.54
1724,ليخة الماء 180,358,2.2,3.07,,787.6,1099.06
1725,متر ليخة صفراء 60 {50M},135,4.3,5.38,,580.5,726.3
1726,متر ليخة صفراء 80 {50m},220,3.4,4.59,,748,1009.8
1727,[50m]100 متر ليخة صفراء,85,3.2,6.14,,272,521.9
1728,متر ليخة حمراء SAINTLUX 50 {50M},5,11,14,,55,70
1729,شاليمو صغير VELAR 3,0,100,160,,0,0
1730,شاليمو  VELAR كبير,58,75,95.63,,4350,5546.54
1731,مكدي ديكاجور 17*350 PLAT,18,25,45,,450,810
1732,مكدي ديكاجور 18*400 PNT,23,20,65,,460,1495
1733,مكدي ديكاجور 17*400 PLAT,43,20,45,,860,1935
1734,مكدي ديكاجور 17*400 PNT,41,20,45,,820,1845
1735,مكدي ديكاجور 14*250 PNT,68,8.5,10.63,,578,722.84
1736,مكدي ديكاجور 30*410 PNT,3,75,100,,225,300
1737,مكدي ديكاجور 30*410 PLAT,6,75,100,,450,600
1738,بروس 3pcs DRILL BRUSH SET رطبة,1,32,45,,32,45
1739,بروس 3pcs DRILL BRUSH SET حرش,1,32,45,,32,45
1740,بروكة هيلتي ABC 8*160mm,0,5,6.25,,0,0
1741,بروكة هيلتي ABC 10*160mm,16,6,15,,96,240
1742,بروكة هيلتي ABC 12*160mm,6,6.5,15,,39,90
1743,بروكة هيلتي ABC 8*210mm,3,5.5,12,,16.5,36
1744,بروكة هيلتي VETOOLS 10*210mm,8,6,15,,48,120
1745,بروكة هيلتي ABC 12*210mm,9,7,15,,63,135
1746,بروكة هيلتي ABC 14*210mm,8,8,15,,64,120
1747,بروكة هيلتي ABC 16*210mm,6,10,15,,60,90
1748,بروكة هيلتي ABC 12*310mm,0,10.5,25,,0,0
1749,بروكة هيلتي ABC 14*310mm,0,13,35,,0,0
1750,بروكة هيلتي ABC 16*310mm,7,16,40,,112,280
