id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
2118,accessoire de jardinage,2,22,45,,44,90
2119,XCORT JARDIN مقص صغير,0,46,57.5,,0,0
2120,XCORT JARDIN مقص كبير,0,105,131.25,,0,0
2121,راطو اخضر JARDIN,4,10,15,,40,60
2122,رشاشة 16L TOTAL,0,220,275,,0,0
2123,(25M) JARDIN رولو كوما,2,265,360,,530,720
2124,ميزان الماء KOVINE 100,4,224.4,260,,897.6,1040
2125,ميزان الماء TOTAL 60cm,8,76.5,120,,612,960
2126,ميزان الماء TOTAL 40cm,0,35.7,80,,0,0
2127,ميزان الماء VELAR 40cm,1,40,60,,40,60
2128,ميزان الماء VELAR 50cm,0,45,70,,0,0
2129,ميزان الماء VELAR 60cm,1,52,80,,52,80
2130,ميزان الماء VELAR 80cm,0,57.12,100,,0,0
2131,ميزان الماء VOLA 80cm,0,260,350,,0,0
2132,فنطوزة 1 بلاستيك,0,23.46,40.8,,0,0
2133,TOKOS ملاسة مدورة لوح,7,60,75,,420,525
2134,colla pvc M40 0.5kg كولا,0,50,62.5,,0,0
2135,colla pvc M40 1kg كولا,0,85,106.25,,0,0
2136,colla pvc ADHESIVO 1kg كولا,0,80,100,,0,0
2137,"colla pvc ADHESIVO 0,5kg كولا",0,50,62.5,,0,0
2138,بومادى PVC SADER,0,12.24,15.3,,0,0
2139,كورديكس عادي,30,4.8,6,,144,180
2140,رولو خيط البناء ازرق,16,7.5,15,,120,240
2141,compreseur wello 30l silence,1,1600,2000,,1600,2000
2142,TOTAL 150*50 سرجوان حديد,0,35,55,,0,0
2143,TOTAL 200*50 سرجوان حديد,0,35,56.88,,0,0
2144,TOTAL 250*50 سرجوان حديد,0,40,66.67,,0,0
2146,XCORT XAMWH-0601 (6pcs),9,76.5,95.63,,688.5,860.67
2147,ركاب اصفر 25cm,96,9.5,20,,912,1920
2148,ركاب اصفر 30cm,86,9.5,22,,817,1892
2149,ركاب اصفر 35cm,116,9.5,25,,1102,2900
2150,TOTAL فردي ريماتشي,0,68,90,,0,0
2151,فنطوزة 2 حديد XINGINDUN,0,91.8,150,,0,0
2152,pince xcort 102-1180,0,45,60,,0,0
2153,لقاط سلك TOTAL,0,38,50,,0,0
2154,ABC 25cm ركاب,0,25,45,,0,0
2155,ABC 30cm ركاب,0,30.6,51,,0,0
2156,ABC 50cm ركاب,3,35,55,,105,165
2157,nobel 40cm ركاب,0,58,80,,0,0
2158,شطابة بلاستيك عادية,211,7,12,,1477,2532
2159,بيكو بيوطة,0,107,133.75,,0,0
2160,بيكو عادي,0,68,85,,0,0
2161,بالة بيوطة,0,48,100,,0,0
2162,DINGI كيطور+تعمرة3,0,13,20,,0,0
2163,مليطة سمطى velar securite,0,280,350,,0,0
2164,سمطة زيار 10متر,0,47,100,,0,0
2165,سطل خيال 2.5 كيلو,2,200,220,,400,440
2166,stop astral 5kg,0,90,100,,0,0
2167,stuco astral 5kg,6,160,192,,960,1152
2168,ATLAS CELLULO BLANC 1KG,0,48,55,,0,0
2169,ATLAS CELLULO gris  1KG,3,48,55,,144,165
2170,ATLAS ANTIROUILE ROUGE 1KG حدادة,2,22.5,28.13,,45,56.26
2171,ATLAS ANTIROUILLE GRIS 1KG حدادة logi,3,26,28,,78,84
2172,ATLAS CELLULO noire 1KG,3,48,55,,144,165
2173,ATLAS CELLULO beige champagne 1KG,0,48,55,,0,0
2174,ATLAS CELLULO noire matt 1KG,2,48,55,,96,110
2175,ATLAS ITRYLAC BLANC 0.5KG,88,20,25,,1760,2200
2176,LOGILAC 0.5KG,0,16.5,20.63,,0,0
2177,ATLAS ITRYLAC 1KG,34,38,47.5,,1292,1615
2178,ATLAS ITRYLAC 5KG,15,170,182.82,,2550,2742.2999999999997
2179,فشفاشة صباغة لون ابيض,0,11.5,14.38,,0,0
2180,5kg atlas  لندوي,3,40,47.62,,120,142.85999999999999
2181,1kg atlas  لندوي,8,9,15,,72,120
2182,برامل كولا اطلس  30 كيلو,0,673.01,841.26,,0,0
2183,COLORADO STELLA BLANC 20KG,1,770,962.5,,770,962.5
2184,jafep amouaj silver 20kg امواج,1,820,900,,820,900
2185,كوتشو ليدر اطلس 30 kg,9,425,455.34,30,3825,4098.0599999999995
2186,كوتشو اتري 5 كيلو,9,80,100,,720,900
2187,فشفاشة dingi بسطولي,0,75,93.75,,0,0
2188,كاسك صداع ممتاز,0,76.5,96.9,,0,0
2189,كاسك صداع عادي,3,45.9,57.38,,137.7,172.14000000000001
2190,"transpalet 2,5 t",1,2874,3592.5,,2874,3592.5
2191,متر قنب 12mm,0,1.78,3.5,,0,0
2192,متر  سلسلة احمر و ابيض 8,114,3.4,4.25,,387.59999999999997,484.5
2193,مترو كوما الخط 8,50,1.6,4,,80,200
2194,رولو سلك بوشوكة,0,85,106.25,,0,0
2195,عود عادي,32,7.14,8.92,,228.48,285.44
2197,طوبو دريناج 200 اسود 6 متر,0,492,615,,0,0
2198,19 *25 mWATER PROFINGمتر جوان اصفر,25,95,120,,2375,3000
2199,achilli mec7-me 380w nn°202408068 2024,1,17000,18800,,17000,18800
2200,متر كوما بوطة ممتاز,34,8,9.5,,272,323
2201,متر كوما بوطة عادية,0,6,8,,0,0
2202,متر  كابلي 2.5 اصفر (رولو100 متر ),230,3.69,3.8,,848.6999999999999,874
2203,متر  كابلي 2.5 اسود (رولو100 متر ),250,3.72,3.9,,930,975
2204,متر  كابلي 2.5 اصفر واخضر   (رولو100 متر ),400,3.72,3.9,,1488,1560
2205,متر  كابلي 2.5 ازرق (رولو100 متر ),571,3.54,3.63,,2021.34,2072.73
2206,"متر  كابلي 1,5 اسود  (رولو100 متر )",844,2.16,2.26,,1823.0400000000002,1907.4399999999998
2207,"متر  كابلي  1,5 اصفر واخضر (رولو100 متر )",155,2.16,2.91,,334.8,451.05
2208,"متر  كابلي 1,5 اصفر (رولو100 متر )",509,2.16,2.26,,1099.44,1150.34
2209,"متر  كابلي 1,5 ازرق  (رولو100 متر )",395,2.16,2.26,,853.2,892.6999999999999
2210,"متر  كابلي 1,5 احمر   (رولو100 متر )",595,2.16,2.26,,1285.2,1344.6999999999998
2211,"متر كابلي 3*2,5 ingelec",1376,12.5,14.5,,17200,19952
2212,متر  كوما كرجوطة حمراء ممتازة  25.5,0,4.6,6.5,,0,0
2213,مليطة الحديد سوارت,0,160,200,,0,0
2214,مليطة دوزان كبيرة tool box,0,150,187.5,,0,0
2215,زيار سمطى كرابات 200 pcs,0,50,62.5,,0,0
2216,كريفو somalin,0,40,50,,0,0
2217,GERODI كريفو يد ازرق,0,38,50,,0,0
2218,ديسكو احمر eco plus 115 mm,29,26,42.48,,754,1231.9199999999998
2219,سيرى منشار حديد,17,8,11.43,,136,194.31
2220,بوسط سودور xcort 355 pro,0,1450,1800,,0,0
2221,"بكيط سودور 2,5*350",0,0.36,0.45,,0,0
2222,"بكيط سودور 3,5",0,2,2.5,,0,0
2223,مكينة شنفرى+سيبور,0,1700,2125,,0,0
2224,تعمرت كوملاط اصفر,38,85,100,,3230,3800
2225,تعمرة حجر 180 إيطالي,2,380,475,,760,950
2226,تعمرة حجر 400 مكينة صغيرة,34,18,22,,612,748
2227,تعمرة حجر300 مكينة صغيرة,31,18,22,,558,682
2228,تعمرة حجر 200 مكينة صغيرة,26,18,22,,468,572
2229,تعمرة حجر 120 مكينة صغيرة,56,15.5,18,,868,1008
2230,تعمرة حجر 60 مكينة صغيرة,12,15.5,18,,186,216
2231,تعمرة حجر ملح  مكينة صغيرة,8,20,35,,160,280
2232,8mm متر كابلي بوجي كحل,323,6.5,9,,2099.5,2907
2233,كيلو ملح كرانيطو,11,25,31.25,,275,343.75
2234,سيبور صباغة 1مترsuper tite,4,55,68,,220,272
2235,رابور ديمندا كبير اخضر,1,1400,1750,,1400,1750
2236,رابور مكينة كبيرة,2,250,350,,500,700
2237,مكدي يد احمر,4,19,23.75,,76,95
2238,مكدي حدادي PLAT,63,20,25,,1260,1575
2239,مكدي حدادي كبير,3,45,56.25,,135,168.75
2240,حجر بروس فيي مربع 10,3,95,101.89,,285,305.67
2241,حجر بروس فيي مربع 12,0,115,123.34,,0,0
2242,حجر بروس فيي مربع 16,68,105,112.61,,7140,7657.48
2243,حجر بروس فيي مربع 24,45,105,112.61,,4725,5067.45
2244,حجر بروس فيي مربع 36,24,105,112.61,,2520,2702.64
2245,حجر بروس فيي مربع 120,1,95,101.88,,95,101.88
2246,حجر بروس فيي مربع 220,5,95,101.88,,475,509.4
2247,حجر بروس فيي مربع 500,10,115,123.34,,1150,1233.4
2248,حجر بروس فيي مربع 60,14,105,131.25,,1470,1837.5
2249,بروس فيي مدور لامون 16,10,105,131.25,,1050,1312.5
2250,بروس فيي مدور لامون 36,9,105,131.25,,945,1181.25
2251,بروس فيي مدور لامون 60,10,105,131.25,,1050,1312.5
2252,بروس فيي مدور لامون 120,13,105,131.25,,1365,1706.25
2253,بروس فيي مدور لامون 320,7,105,131.25,,735,918.75
2254,بروس فيي مدور لامون 220,11,105,131.25,,1155,1443.75
2255,بروس فيي مدور لامون 500,9,105,131.25,,945,1181.25
2256,جفاف عادي طرابو,4,3,3.75,,12,15
2257,وايت سبيريت 1 لتر,203,12,18,,2436,3654
2258,شطابة بلاستك طريق صغيرة,0,23,28.75,,0,0
2259,شطابة جير,4,6,14.12,,24,56.48
2260,دلوان 0.25 لتر,0,5.5,6.88,,0,0
2261,دلوان 1 لتر,60,12,18,,720,1080
2262,adjuvant 5 l,0,250,312.5,,0,0
2263,أخضر espania لباس الحماية,0,140,200,,0,0
2264,أصفر espania لباس الحماية,0,120,150,,0,0
2265,كمامة 2eme,47,2.5,3.13,,117.5,147.10999999999999
2266,جيلي normale اصفر,450,6.5,20,,2925,9000
2267,جيلي normale احمر,58,6.5,20,,377,1160
2268,جيلي احمر بسرين ممتاز,0,14,35,,0,0
2269,FUGABELLA ECO 17,2,200.31,250.39,5,400.62,500.78
2270,"متر كابلي 3*2,5 nexane",0,12.5,13.5,,0,0
2271,طابلة زليج,1,1690,2000,,1690,2000
2272,"مكينة زليج 1,2 sigma italy",1,6100,7625,,6100,7625
2273,MBH 1.2 مكينة زليج سوداء,1,2200,2750,,2200,2750
2274,TOTAL مكينة زليج 1.2,0,980,1225,,0,0
2275,TOTAL 60 مكينة زليج,0,459,573.75,,0,0
2276,Velar 60 مكينة زليج خضراء صغيرة,0,480,600,,0,0
2277,CONCRETE  SAW مكينة منشار الارض,0,2500,3200,,0,0
2278,RUBI 1.2 مكينة زليج,0,3000,3750,,0,0
2279,RUBI 1 مكينة زليج,1,2800,3500,,2800,3500
2280,66 RUBI مكينة زليج,2,2800,3500,,5600,7000
2281,لامون بوش صغيرة بطرية,0,1785,2231.25,,0,0
2282,خلاط xcort  1600w متوسط,0,500,729.17,,0,0
2283,ميزان الماء rubi 1 m,0,420,550,,0,0
2284,"ميزان الماء rubi 1,2 m",0,510,600,,0,0
2285,RUBI بلانة مستيك يد لوح بيضاء,1,175,218.75,,175,218.75
2286,RUBI بلانة بونجة يد ابيض,0,70,87.5,,0,0
2287,RUBI مشطة كوشية زليج,8,46.92,60,,375.36,480
2288,موس زليج لومبلاج rubi double,0,55,68.75,,0,0
2289,موس زليج لومبلاج rubi,22,50,62.5,,1100,1375
2290,موس زليج rubi silver,0,180,225,,0,0
2291,موس زليج rubi 22 extrem,5,390,480,,1950,2400
2292,موس زليج اسود لومبلاج rubi 10,0,120,150,,0,0
2293,موس رونديل rubi,0,250,312.5,,0,0
2294,فنطوزة 1 rubi,1,183.6,255,,183.6,255
2295,يد مكينة rubi original,2,600,750,,1200,1500
2296,قفة بلاستيك كبيرة rubi,9,100,125,,900,1125
2297,لامون ركلاج صغيرة kenmax,0,250,400,,0,0
2298,ليزر بوش ممتاز niveau 360,0,4040,5050,,0,0
2299,ليزر صغير globest,0,420,525,,0,0
2300,ديكاجور xcort 2000w,3,1950,2400,,5850,7200
2301,فيبراسيون 21v falans,0,1050,1312.5,,0,0
2302,"برة فنطوزة كبيرة ريح 3,8متر",0,3000,4500,,0,0
2303,لقاط مرمو باليد احمر,4,350,413.79,,1400,1655.16
2304,فنطوزة ريح rubi,1,663,900,,663,900
2305,يد مكينة velar noire,2,190,250,,380,500
2306,لاجور 8 amina brique,0,1.75,1.95,,0,0
2307,لاجور 8 koucha brique,0,1.65,1.8,,0,0
2308,لاجور 6 حمدي,0,1.2,1.46,,0,0
2309,لاجور 6 koucha brique,0,1,1.4,,0,0
2310,لاجور 8 حمدي,1800,1.65,1.9,,2970,3420
2311,لاجور 12 حمدي,0,1.7,2.23,,0,0
2312,بلوك 15,564,5.5,7.11,,3102,4010.04
2313,بلوك 20,94,6.3,8,,592.1999999999999,752
2314,SR-0076-BK LED MAX سبوطة,0,35,43.75,,0,0
2315,CLEMED شيفون لافابو,0,80,100,,0,0
2316,RINOVA 9*80 GOLD شيفون,1,650,850,,650,850
2317,ليخة الماء 320,139,2.15,2.69,,298.84999999999997,373.90999999999997
2318,ليخة الماء 360,107,2.15,2.69,,230.04999999999998,287.83
2319,ليخة الماء ممتاز 320,116,4,5,,464,580
2320,ليخة الماء ممتاز 400,0,4,5,,0,0
2321,"ديسكو زليج 125 ازرق dotchtek 4,5",0,130,180,,0,0
2322,ديسكو زليج 125 ازرق حك dotchtek 5,10,120,150,,1200,1500
2323,ديسكو كرانيط ازرق 125 diamflex mm,0,80,130,,0,0
2324,كمامة بيضاء 1er,0,6.3,7.88,,0,0
2325,سيراج maprof 1 kg,123,54,75,,6642,9225
2326,كولا شحمة universal,0,45.9,57.38,,0,0
2327,زاك 16 احمر كبير 180,0,19,23.75,,0,0
2328,زاك 120 احمر صغير 115mm,33,15.6,19.5,,514.8,643.5
2329,ديسكو نجمة universal diamond 180 ممتاز,0,160,200,,0,0
2330,ديسكو نجمة universal diamond 180,0,140,180,,0,0
2331,ليخة مرمو ita 180mm//60,0,6,8,,0,0
2332,ليخة مرمو ita 180mm//80,33,6,8,,198,264
2333,ليخة مرمو ita 180mm//120,0,6,8,,0,0
2334,ليخة مرمو ita 180mm//220,0,6,8,,0,0
2335,متر ليخة حمراء SAINTLUX 40 {50M},50,11.6,14.5,,580,725
2336,متر ليخة حمراء SAINTLUX 100 {50M},0,11,13.75,,0,0
2337,شراط حمام كرانيط احمر  zhongzhi 180*50,2,450,562.5,,900,1125
2338,شربون بوش عادي صغير,0,8,10,,0,0
2339,شربون بوش عادي aunch,0,5.1,6.38,,0,0
2340,بندى كيفلاج1متر  KERAKOLL,230,16.33,23.82,,3755.8999999999996,5478.6
2341,بلانة زليج احمر ممتازة 50cm,0,160,200,,0,0
2342,وانطيس ثوب ممتاز,7,11.5,14.38,,80.5,100.66000000000001
2343,SUPERNOVA 50W مصباح,0,42,52.5,,0,0
2344,SUPERNOVA 30W مصباح,0,25,30,,0,0
2345,SUPERNOVA 20W مصباح,0,22,27.5,,0,0
2346,زاك CECROPS 115mm 120,0,15.6,19.5,,0,0
2347,زاك CECROPS 115mm 16,0,15.6,19.5,,0,0
2348,ليخة صغيرة 80 TIGOR,0,2.5,4,,0,0
2349,ليخة صغيرة 120 TIGOR,33,2.5,4,,82.5,132
2350,ليخة صغيرة 220 TIGOR,105,2.5,4,,262.5,420
2351,ليخة صغيرة 60 TIGOR,86,2.5,4,,215,344
2352,ليخة SAIT 115mm 120,595,5.3,7,,3153.5,4165
2353,MONAMI قلم,168,2.5,3.13,,420,525.84
2354,ليخة CODAFLEX 180mm 400,415,6.12,7.65,,2539.8,3174.75
2355,SOLGA 180 MM BLUE ديسكو,0,205.2,280,,0,0
2356,CAT 115mm ديسكو زليج,0,147,180,,0,0
2357,ديسكو زليج 85mm RUBI TVA,0,250,350,,0,0
2358,RUBI 115 ديسكو نجمة,0,360,450,,0,0
2359,متر ليخة صفراء 50 {50M},150,4.53,5.66,,679.5,849
2360,كوشيا رقيقة يد اسود+برتقالي,0,4.79,5.99,,0,0
2361,MIXER 1L MACCHIABLOCK برودي,0,160,200,,0,0
2362,aqua stop 1 l,8,160,200,,1280,1600
2363,ليخة CODAFLEX 180mm 220,0,6.12,7.65,,0,0
2364,ليخة CODAFLEX 180mm 60,0,6,7.5,,0,0
2365,ليخة كبيرة 400 TIGOR,170,3.77,5.1,,640.9,866.9999999999999
2366,ليخة كبيرة 220 TIGOR,190,3.7,5,,703,950
2367,ليخة كبيرة 320 TIGOR,83,3.77,5.1,,312.91,423.29999999999995
2368,ليخة كبيرة 120 TIGOR,78,3.7,5,,288.6,390
2369,ليخة كبيرة 60 TIGOR,56,3.77,5.1,,211.12,285.59999999999997
2370,بروكة 14 دهبية MBH,0,170,212.5,,0,0
2371,تعمرة حجر 30 سوداء,102,17.5,20,,1785,2040
2372,تعمرة حجر 60 سوداء,85,17.5,20,,1487.5,1700
2373,PANEL 10W 3D ROND SPOTA,6,15,25,,90,150
2374,PANEL 18W 3D ROND SPOTA,3,22,30,,66,90
2375,PANEL 24W 3D ROND SPOTA,0,26,33.7,,0,0
2376,PANEL 36W 3D ROND SPOTA,2,35,60,,70,120
2377,فيش بلابور,84,0.8,1,,67.2,84
2378,بروكة دهبية 100,0,450,600,,0,0
2379,XCORT مكينة فينيسيون صغيرة 12-05,2,340,600,,680,1200
2380,مليطة ركاب احمر + مسطرو سوداء,0,160,200,,0,0
2381,لافابو أسود ممتاز مثلث 78*78,1,2400,3000,,2400,3000
2382,لافابوRELAX 75X40,1,800,1000,,800,1000
2383,لافابو دوبل مربع 86*44,12,1500,1700,,18000,20400
2384,Sanili 60*45 لافابو اينوكس,1,800,1000,,800,1000
2385,حجر صغير codaflex,0,65,80,,0,0
2386,حجر كبير codaflex,11,65,78.43,,715,862.73
2387,شاريو مرمو اصفر صغير,3,650,812.5,,1950,2437.5
2388,INCCO 1300W 7KG ديكاجور,10,861.75,1200,,8617.5,12000
2389,مكينة الحك صباغة 1200W XCORT,3,1150,1725,,3450,5175
2390,مراءة الطريق orange 180°,0,400,500,,0,0
2391,INGCO 680W شينيور+سوارت,1,899.25,1100,,899.25,1100
2392,DRILL AND DRIVING ACCESSORY SET 201PCS CAT,1,615,850,,615,850
2393,DEXTAIR 22V فيبراسيون بيطون,0,1650,2100,,0,0
2394,Pompe peripherique 0.5HP 16 Twp137016,0,350,600,,0,0
2395,Pompe peripherique 0.5HP 06 Twp13706,0,420,600,,0,0
2396,"POMPE FERRI 12V 0,75HP",0,270,450,,0,0
2397,Pompe Centrifugal 1.0HP Twp27506,0,950,1200,,0,0
2398,Pompe immergee 2HP Twp515001,1,2600,3000,,2600,3000
2399,Pompe immergee 0.75HP Twp55501,0,1800,2200,,0,0
2400,Pompe immergee 0.5HP Twp53701,0,1550,1900,,0,0
2401,بوطونية بيطون BOTONIYA XCORT 01-260L,1,3750,5000,,3750,5000
2402,SIKA BOOM سبوما البناء,58,58.32,80,,3382.56,4640
2403,Prise control immergee 2.0HP Twp515001,1,200,250,,200,250
2404,Prise control immergee 0.5HP Twp53701,-1,170,212.5,,-170,-212.5
2405,sika mortier rapide 5 kg,11,298.08,319.99,5,3278.8799999999997,3519.8900000000003
2406,SIKA FILL TOITURE,0,420,570,,0,0
2407,epoxy grout 5 kg,1,660,825,5,660,825
2408,sika conservador b25l,0,599.4,750,,0,0
2409,منشار ضوء TOTAL 750W,1,500,750,,500,750
2410,INCCO 20V منشار خشب متوسط باتري,1,711.75,1000,,711.75,1000
2411,TOTAL ديسكو منشار الشجر,1,1200,1500,,1200,1500
2412,TOTAL 63*300 سرجوان,0,48.96,61.2,,0,0
2414,TOTAL 200 سرجوان حديد,0,40,50,,0,0
2415,TOTAL 250 سرجوان حديد,0,45,56.25,,0,0
2416,TOTAL 150 سرجوان حديد,0,35,43.75,,0,0
2417,رولو كرياج كرفانيزي 50 متر,15,325,406.25,,4875,6093.75
2418,متر كرياج عادي,0,3.2,5,,0,0
2419,شطابة جير ممتازة,0,15.5,25,,0,0
2421,INGCO 20V لامون باتري,2,599.25,799.89,,1198.5,1599.78
2422,INCCO 680W شينيور,2,449.25,561.56,,898.5,1123.12
2423,brillex-P 5L,3,145,190,,435,570
2424,Lithos 5L بردوي,0,590,750,,0,0
2425,sh100 1Lبرودوي,1,160,180,,160,180
2426,MIXER MACCHIABLOOCK 5L,0,750,850,,0,0
2427,GEKKOTA 48MM شكوتش,787,14.5,18.13,,11411.5,14268.31
2428,سيبور جوان زليج لامون,0,220,275,,0,0
2429,INCCO 710W لامون,0,224.25,350,,0,0
2430,JADEVER لباس الماء,6,111.75,200,,670.5,1200
2431,لباس الماء اخضر اسبنيا,1,140,175,,140,175
2432,نظارات الحماية,0,7,8.75,,0,0
2433,VELAR مليطة سماطي,0,280,400,,0,0
2434,ميني بروس normal gris grand,0,6600,7232.88,,0,0
2435,KINTA CEMENTO 1L,0,26,32.5,,0,0
2436,alexe 1kg غبرة قوادس,0,32,50,,0,0
2437,alexe 0.5kg غبرة قوادس,0,21,30,,0,0
2438,VAST كانون,0,80,120,,0,0
2439,STONLY NOIR  PRO 1 كانون,0,77,100,,0,0
2440,STOLNY NOIR  2 كانون,0,72,95,,0,0
2441,GMR 8CM كانون,8,66,90,,528,720
2442,AKM LUXE كانون,7,62,85,,434,595
2443,STONLY S6 كانون,4,48,75,,192,300
2444,STONLY PRO كانون,0,45,70,,0,0
2445,LIVIO 7CM كانون,0,45,70,,0,0
2446,STABILIT كانون,10,45,65,,450,650
2447,TISSA كانون,5,40,60,,200,300
2448,FNK كانون,0,36,55,,0,0
2449,LINCE كانون,4,35,50,,140,200
2450,UMEX ULTRA كانون,9,29,40,,261,360
2451,LINKE كانون اخضر,4,25,40,,100,160
2452,OSKAR MOVE كانون,7,24,35,,168,245
2453,LINK كانون ازرق,18,20,35,,360,630
2454,OSKAR ORANGE كانون,10,18,30,,180,300
2455,موس جوان زليج احمر SHIJING,0,80,100,,0,0
2456,سيبور هيدورة برتقالي ممتاز,2,15.3,19.13,,30.6,38.26
2457,سيبور هيدورة اسود عادي,11,5.1,6.38,,56.099999999999994,70.17999999999999
2458,فردي سيليكون داني رمادي,0,48,60,,0,0
2459,ERGO بروكلة هلتي قصيرة 20MM,0,52,70,,0,0
2460,velar sds 18*310بروكة بيطون,9,35,65,,315,585
2461,velar sds 16*310 بروكة بيطون,1,28,50,,28,50
2462,velar sds 14*310 بروكة بيطون,5,24.5,50,,122.5,250
2463,VELAR SDS 14*350 بروكة بيطون,12,31.6,55,,379.20000000000005,660
2464,ERGO 10MM بروكة هلتي طويلة,0,35,43.75,,0,0
2465,velar sds 14*260 بروكة بيطون,2,21,40,,42,80
2466,velar sds 18*210 بروكة بيطون,10,29,45,,290,450
2467,velar sds 16*210 بروكة بيطون,0,24,30,,0,0
2468,velar sds 14*210 بروكة بيطون,1,20,25,,20,25
2469,بروكة هلتي 16 قصيرة,12,15,25,,180,300
2470,velar sds 12*160 بروكة بيطون,0,12.5,25,,0,0
2471,velar sds 10*310 بروكة بيطون,1,16,20,,16,20
2472,بروكة هلتي 6 قصيرة بوش,11,26,40,,286,440
2473,velar sds 8*210 بروكة بيطون,0,10,20,,0,0
2475,PYRAMED NOIR  60*45 لافابو,0,530,700,,0,0
2476,SDS PLAT 14*250 مكدي هلتي,85,9,20,,765,1700
2477,TOTAL  14*250*20مكدي هلتي,1,18.36,35.7,,18.36,35.7
2478,ABC PLAT 14*250*50 مكدي كراطاج,0,30,40,,0,0
2479,INCCO 12*160 بروكة هلتي,39,11.63,20.01,,453.57000000000005,780.3900000000001
2480,INCCO 10*160 بروكة هلتي,0,10.5,15,,0,0
2481,INCCO 8*160 بروكة هلتي,0,9,11.25,,0,0
2482,INCCO 6*160 بروكة هلتي,13,9,14,,117,182
2483,MECHE BETON PIG *06,13,4.5,15,,58.5,195
2484,MECHE BETON PIG *08,0,5.5,15,,0,0
2485,MECHE BETON PIG *10,6,7.5,20,,45,120
2486,MECHE BETON PIG *12,12,9.5,20,,114,240
2487,IMLUX بروكة زليج 10,0,15,30,,0,0
2488,IMLUX بروكة زليج 8,0,12,30,,0,0
2489,IMLUX بروكة زليج 12,44,18,30,,792,1320
2490,طنطة اطلس ازرق,81,8.67,10.84,,702.27,878.04
2491,طنطة اطلس احمر,3,8,10,,24,30
2492,طنطة اطلس اسود,208,8.5,10.63,,1768,2211.04
2493,طنطة اطلس اصفر,64,8.67,10.84,,554.88,693.76
2494,طنطة اطلس اخضر,37,8.67,10.84,,320.79,401.08
2495,طنطة اطلس كريمة,18,8.5,10.63,,153,191.34
2496,طنطة اطلس مارو,63,8,10,,504,630
2497,ARMATURA 100 نظام التهوية,3,75,93.75,,225,281.25
2498,MUTLUSAN 120 نظام التهوية,0,80,100,,0,0
2499,VSA 120 نظام التهوية,1,85,106.25,,85,106.25
2500,velar inox 22 بروكة,20,120,150,,2400,3000
2501,velar inox 16 بروكة,15,70,87.5,,1050,1312.5
2502,velar inox 10.5 بروكة,11,28,35,,308,385
2503,velar inox 8.5 بروكة,8,16,20,,128,160
2504,velar inox 6.5 بروكة,9,9,11.25,,81,101.25
2505,velar inox 6.بروكة,10,7.7,9.63,,77,96.30000000000001
2506,velar inox 5.5 بروكة,4,6,7.5,,24,30
2507,velar inox 5 بروكة,0,5.5,6.88,,0,0
2508,velar inox 4.5 بروكة,6,4.5,5.63,,27,33.78
2509,velar inox 4 بروكة,4,3.8,4.75,,15.2,19
2510,بروشة مدورة bioral 50 gris,0,38,47.5,,0,0
2511,بروشة مدورة bioral 60 gris,0,58,72.5,,0,0
2512,بروشة bioral 100 gris,0,27,33.75,,0,0
2513,بروشة bioral 90 gris,0,21,26.25,,0,0
2514,بروشة bioral 80 gris,0,16,20,,0,0
2515,بروشة bioral 70 gris,0,14,17.5,,0,0
2516,بروشة akro N09,30,3.93,4.81,,117.9,144.29999999999998
2517,بروشة عادية / بكية,97,4,5,,388,485
2518,peygran 10x10 بلانة الزليج يد مشروك,0,91.8,130,,0,0
2519,بلانة يد ازرق GERMANY,0,65,81.25,,0,0
2520,بلانة انوكس يد ازرق akro,48,42.75,70,,2052,3360
2521,يد مكينة velar 1.2m,4,190,237.5,,760,950
2522,fugalite invesible 3kg kerakoll,11,544.34,457.87,3,5987.740000000001,5036.57
2523,KERAKOLL H40 EXTREME 10KG,14,1009.81,1362.74,10,14137.34,19078.36
2524,ليخة ميني بروس 2face,6,146.4,183,,878.4000000000001,1098
2525,بروكة حيط16,0,11.5,14.38,,0,0
2526,ERGO MECHE HILTI 10*160,0,10,15,,0,0
2527,ERGO MECHE HILTI 12*160,9,12,15,,108,135
2528,XCORT 16V فيبراسيون,15,700,875,,10500,13125
2529,ديسكو مرمو 125mm velar,0,130,170,,0,0
2530,مطرقة velar 1.5kg يد لوح,0,48,60,,0,0
2532,مكدي هلتيSDS PO 14*250,72,8.5,10.63,,612,765.36
2533,مكدي هلتي 18* PLA 400,0,20,25,,0,0
2534,مكدي هلتي 18*PO 400,0,20,25,,0,0
2535,مكدي هلتي 17*PLA 400,0,20,25,,0,0
2536,مكدي هلتي 17*PO 400,0,20,25,,0,0
2537,TOTAL PLA  14*250*20مكدي هلتي,0,18,22.5,,0,0
2538,مكدي وبنتيرو ديكاجور متوسط,0,35,60,,0,0
2539,مطرقة velar 1kg يد لوح,0,32,40,,0,0
2540,مطرقة زليج عادية  G500,0,16.32,20.4,,0,0
2541,موس زليج VELAR GOLD,44,20,70,,880,3080
2543,RUBI بلانة مستيك يد لوح زرقاء,12,160,200,,1920,2400
2544,RUBI بلانة بونج اسود,28,55,68.75,,1540,1925
2545,ديسكو زليج RUBI 230 ملم,1,655,818.75,,655,818.75
2546,بروس فيي مدور لامون 10,0,105,131.25,,0,0
2547,gمطرقة زليج عادية 750,0,22.44,28.05,,0,0
2548,مطرقة زليج عادية kg1,0,26,32.5,,0,0
